name;category;productSpecification;shortDescription;descriptionPrint;applicationHomeCare;tipHomecare;applicationCabine;tipCabine;descriptionPackaging;applicationHomeCarePackaging;hintPackaging;poProductFact;poMainIngredients;poIndication;poEffect;incis
Zinc+Hexidine Concentrate;Gesicht;Konzentrat;Reduziert Unreinheiten;"Das hochkonzentrierte Serum mit Zink und Hexidin 
dient zur Minderung von Unreinheiten und Rötungen 
für eine reine Haut. Dieses Konzentrat empfiehlt sich 
bei öliger und unreiner Haut. Die innovative Wirkstoffkombination reduziert Unreinheiten und verbessert das Hautbild deutlich.";Morgens und / oder abends punktuell oder grossflächig, je nach Hautsitua- tion, auf die gereinigte Haut auftragen und einwirken lassen. Danach bei Bedarf die Pflegecreme anwenden.;;Anwendung: Einige Tropfen sanft auftragen und einarbeiten. ;Unter der Alginat Maske vor der Abschlusspflege oder mit Ultraschall einarbeiten.;Das hochkonzentrierte Serum mit Zink und Hexidin dient zur Minderung von Irritationen und Rötungen, leicht mattierend für eine reine Haut.;Anwendung: Einige Tropfen auf die gereinigte Haut (punktuell oder grossflächig) auftragen.;Hinweis: Nur äusserlich anwenden. Augen- und Schleimhautkontakt vermeiden, ansonsten mit Wasser auswaschen. Von Kindern fernhalten.;"• antibakteriell
• adstringierend
• abschwellend
• entzündungshemmend
• beruhigend";"• Zinksulfat
• Pentylene Glycol
• Hexidin (Fantasiename)";"• irritierte, gerötete, gereizte Haut
• Hautunreinheiten mit Entzündungen (Pusteln, Papeln)
• ölige, unreine Haut";"Das hochkonzentrierte Serum mit Zink und Hexidin dient zur Minderung von Unreinheiten und Rötungen für eine reine Haut. Dieses Konzentrat empfiehlt sich bei öliger und unreiner Haut. Die innovative Wirkstoffkombination reduziert Unreinheiten und verbessert das Hautbild deutlich. 
Zink beruhigt die Haut, wirkt abschwellend und unterstützt den natürlichen Heilungsprozess bei irritierter und geröteter Haut.
";Ingredients: Aqua (Water), Pentylene Glycol, Disodium Edta, Zinc Sulfate, Panthenol, Polyaminopropyl Biguanide, Hydroxyethyl-Cellulose, Sodium Salicylate.
Cleanser ;Gesicht;Reinigung;Sanftes Reinigungsgel für unreine Haut;"Der milde Cleanser sorgt für eine porentiefe Reinigung mit besonders gut verträglichen und sanft 
wirksamen Fruchtsäuren. Die innovative Wirkstoffkombination normalisiert die übermässige Talgproduktion. Die Haut fühlt sich rein und frisch an.";Eine haselnussgrosse Menge Gly Clean Cleanser in den feuchten Händen aufemulgieren, sanft im Gesicht einmassieren und anschliessend mit viel Wasser abreinigen. Kann auch unter der Dusche für den Rücken und das Dekolleté verwendet werden.;;Anwendung: Mit Wasser aufemulgieren, auf Gesicht, Hals und Dekolleté auftragen, saft einmassieren und gründlich mit Wasser abreinigen.;;Reinigungsgel für die unreine Haut. Das Gel sorgt für eine porentiefe Reinigung und normalisiert die übermässige Talgproduktion. ;Anwendung: Morgens und abends mit Wasser aufschäumen, auftragen und gründlich mit Wasser abreinigen.;Hinweis: Nur äusserlich anwenden. Augen- und Schleimhautkontakt vermeiden, ansonsten mit Wasser auswaschen. Von Kindern fernhalten.;"• löst Verhornungen (keratolytisch)
• reinigt porentief";"• Glycocitro-Complex
• Salicylsäure

";"• entzündliche Akne-Formen
• ölige, unreine Haut
• normale, unreine Haut";"Das sanfte Cleansing-Gel reinigt die Haut porentief und normalisiert die verhornte Haut.
";Ingredients: Aqua (Water), Sodium Laureth Sulfate, Citrus Limon (Lemon) Fruit Water, Cocamidopropyl Betaine, Sodium Chloride, PEG-90 Glyceryl Isostearate, Propylene Glycol, Salicylic Acid, Styrene/VP Copolymer, Diazolidinyl Urea, Glycolic Acid, Laureth-2, Methylparaben, Benzoic Acid, Propylparaben, Sodium Laureth-40 Sulfate, Sorbic Acid
Tonic  ;Gesicht;Reinigung;Klärendes Gesichtswasser für unreine Haut;"Bye-bye Unreinheiten und Mitesser. Das Tonic sorgt 
für eine intensive Nachreinigung und belebt die 
Haut. Es verbessert das Hautbild und beugt der Bildung von neuen Unreinheiten vor. Die einzigartige 
Wirkstoffkombination klärt, reinigt und erfrischt die 
Haut spürbar.";Das Tonic auf ein Wattepad sprühen und einmal sanft über jede Hautpartie fahren. Darf mehrmals täglich Iokal auf die entzündeten Unreinheiten gegeben werden.;;Anwendung: Auf 2 Wattepads sprühen, Gesicht, Hals und Dekolleté damit nachreinigen.;Kann zum Verfeinern der Gly Clean Clarifying Mask verwendet werden. In der Maskenschale mit 3-9 Pumpstössen mischen.;Klärendes Gesichtswasser für unreine Haut. Das Tonic sorgt für eine intensive Nachreinigung, normalisiert die übermässige Talgproduktion, wirkt mattierend und verbessert Hautirritationen.;Anwendung: Morgens und abends mit einem Wattepad auf die gereinigte Haut auftragen.;Hinweis: Nur äusserlich anwenden. Augen- und Schleimhautkontakt vermeiden, ansonsten mit Wasser auswaschen. Von Kindern fernhalten.;"• antibakteriell
• entzündungshemmend
• klärend";"• Glycocitro-Complex
• Chlorhexidin
• Salizylsäure";"• entzündliche Akne-Formen
• ölige, unreine Haut
• normale, unreine Haut";"Das Tonic sorgt für eine intensive Nachreinigung und belebt die 
Haut. Es verbessert das Hautbild und beugt der Bildung von neuen 
Unreinheiten vor. Die einzigartige Wirkstoffkombination klärt, reinigt und erfrischt die Haut spürbar.";Ingredients: Aqua (Water), Alcohol Denat., Citrus Limon (Lemon) Fruit Water, Glycolic Acid, Propylene Glycol, Diazolidinyl Urea, Methylparaben, Chlorhexidine Digluconate, Salicylic Acid, Propylparaben.
Gel ;Gesicht;Aktivprodukt;Verfeinernde Fruchtsäuren;"Das leichte Spezialgel sorgt für ein klares und ebenmässigeres Hautbild über Nacht und eignet sich bei öliger, unreiner Haut. Durch die natürliche Fruchtsäure wird 
die Hautoberfläche verfeinert. Das Erscheinungsbild wirkt ebenmässiger.";"1. Woche:  3 mal wöchentlich abends verwenden (5 %)
2. Woche: 4 mal wöchentlich abends verwenden (5 %)
3. Woche: täglich abends verwenden (5 %)
Ab der 4. Woche das Gel und das Gel plus alternierend verwenden (jeden Abend auftragen):
4. Woche: 3 mal wöchentlich abends verwenden (plus 10 %)
5. Woche:  4 mal wöchentlich abends verwenden (plus 10 %)
6. Woche:  täglich abends verwenden (plus 10 %)";"Eine regelmässige Aknetoilette im Institut (1x wöchentlich, mindestens 6 Behandlungen) ist ergänzend sehr empfehlenswert und fördert die schnellere Abheilung.
Ein leichtes Kribbeln/Prickeln ist möglich. Nach Bedarf danach die Pflegecreme anwenden (ca. 5 Minuten warten). Diese sollte einen ph-Wert von 6 nicht überschreiten um die Wirkung der Fruchtsäure nicht zu reduzieren.";— — —;;Das Spezialgel bei unreiner Haut sorgt für ein klares und ebenmässiges Hautbild. Durch die natürlichen Fruchtsäuren wird die Hautoberfläche verfeinert. ;Anwendung: Abends nach der Reinigung auf die Gesichtspartie auftragen und einwirken lassen. Danach die entsprechende Pflegecreme nach Bedarf anwenden.;Hinweis: Nur äusserlich anwenden. Augen- und Schleimhautkontakt vermeiden, ansonsten mit Wasser auswaschen. Von Kindern fernhalten.;"• antibakteriell
• Hornschicht auflösend (keratolytisch)
• eliminiert Talgstau
• entzündungshemmend
• Hornschicht auflösend";"• Glycocitro-Complex (5% Gel)
• Chlorhexidin
• Salicylsäure
• Zinkoxid";"• nicht entzündliche Akne-Formen (Komedonen Akne)
• grossporige Hautstruktur
• ölige, unreine Haut";Aktivprodukt mit veredelter Fruchtsäure verfeinert die Hautoberfläche, wirkt antibakteriell und entzündungshemmend. Komedonen werden gelöst und deren Neubildung minimiert.;Ingredients: Aqua (Water), Citrus Limon (Lemon) Fruit Water, Glycolic Acid, Steareth-2, PPG-15 Stearyl Ether, Steareth-20,Salicylic Acid,Zinc Oxide,Dimethicone, Isopropyl Palmitate,Propylene Glycol,Cetearyl Alcohol, Citrus Limon (Lemon) Peel Oil, Diazolidinyl Urea, Chlorhexidine Digluconate, Methylparaben, Propylparaben, Limonene.
Gel Plus ;Gesicht;Aktivprodukt;Spezialgel für unreine Haut;"Dieses Gel empfiehlt sich bei intensiven Behandlungen von sehr unreiner Haut über Nacht. Durch die natürliche 
Fruchtsäure wird die Hautoberfläche verfeinert. Das 
Gel Plus sorgt für ein klares und feines Hautbild. Das 
Erscheinungsbild wirkt ebenmässiger.";"1. Woche:  3 mal wöchentlich abends verwenden (5 %)
2. Woche: 4 mal wöchentlich abends verwenden (5 %)
3. Woche: täglich abends verwenden (5 %)
Ab der 4. Woche das Gel und das Gel plus alternierend verwenden (jeden Abend auftragen):
4. Woche: 3 mal wöchentlich abends verwenden (plus 10 %)
5. Woche:  4 mal wöchentlich abends verwenden (plus 10 %)
6. Woche:  täglich abends verwenden (plus 10 %)";"Eine regelmässige Aknetoilette im Institut (1x wöchentlich, mindestens 6 Behandlungen) ist ergänzend sehr empfehlenswert und fördert die schnellere Abheilung.
Ein leichtes Kribbeln/Prickeln ist möglich. Nach Bedarf danach die Pflegecreme anwenden (ca. 5 Minuten warten). Diese sollte einen ph-Wert von 6 nicht überschreiten um die Wirkung der Fruchtsäure nicht zu reduzieren.";— — —;;"
Intensives Spezialgel bei unreiner Haut. Die natürliche Fruchtsäure verfeinert die Hautoberfläche und sorgt für ein klares, ebenmässiges Hautbild.";Anwendung nach der Eingewöhnungsphase mit Gly Clean Gel: Abends nach der Reinigung auf die Gesichtspartie auftragen und einwirken lassen. Danach die entsprechende Pflegecreme nach Bedarf anwenden. ;Hinweis: Nur äusserlich anwenden. Augen- und Schleimhautkontakt vermeiden, ansonsten mit Wasser auswaschen. Von Kindern fernhalten.;"• antibakteriell
• Hornschicht auflösend (keratolytisch)
• eliminiert Talgstau
• entzündungshemmend
• Hornschicht auflösend";"• Glycocitro-Complex (10% Gel plus)
• Chlorhexidin
• Salicylsäure
• Zinkoxid";"• nicht entzündliche Akne-Formen (Komedonen Akne)
• grossporige Hautstruktur
• ölige, unreine Haut";Aktivprodukt mit veredelter Fruchtsäure verfeinert die Hautoberfläche, wirkt antibakteriell und entzündungshemmend. Komedonen werden gelöst und deren Neubildung minimiert.;Ingredients: Aqua (Water), Glycolic Acid, Citrus Limon (Lemon) Fruit Water, Steareth-2, PPG-15 Stearyl Ether, Steareth-20, Salicylic Acid, Zinc Oxide, Dimethicone, Isopropyl Palmitate, Propylene Glycol, Cetearyl Alcohol, Citrus Limon (Lemon) Peel Oil , Diazolidinyl Urea, Chlorhexidine Digluconate, Methylparaben, Propylparaben, Limonene, Pinene, Citral.
Moisturizer ;Gesicht;Fluid;Pflege und Feuchtigkeit;"Die talgregulierende Feuchtigkeitspflege wirkt ausgleichend und klärend. Die angenehm leichte Formulierung mit beruhigenden und befeuchtenden 
Eigenschaften der Milchsäure und Panthenol eignet 
sich zur Pflege bei öliger und unreiner Haut. Die Haut 
wird auf sanfte Weise in Balance gebracht. Dieses 
Feuchtigkeitsfluid ergänzt die Aktivprodukte 
Gly Clean Gel und Gly Clean Gel Plus ideal. Die Haut 
wird beruhigt und erneuten Unreinheiten wird vorgebeugt.";Eine haselnussgrosse Menge jeweils morgens und / oder abends auftragen. Gly Clean Moisturizer eignet sich als Tages- und / oder Nachtpflege von öliger, unreiner Haut.;;Anwendung: Als Abschlusspflege auftragen.;;Talgregulierende Feuchtigkeitspflege wirkt ausgleichend und klärend für eine reine Haut. Die leichte Formulierung mit beruhigenden und befeuchtenden Eigenschaften der Milchsäure und Panthenol ist geeignet für die ölige, unreine Haut.;Anwendung: Morgens und abends auf die gereinigte Haut auftragen. ;Hinweis: Nur äusserlich anwenden. Augen- und Schleimhautkontakt vermeiden, ansonsten mit Wasser auswaschen. Von Kindern fernhalten.;"• antibakteriell
• beruhigend
• feuchtigkeitsspendend
• reguliert den Säureschutzmantel der Haut";"• Allantoin
• Hexidin
• Milchsäure
• Panthenol
";ölige bis normale, unreine Haut ;Beruhigende Feuchtigkeitspflege für die ölige bis normale, trockene, unrei- ne Haut. Der Haut wird die fehlende Feuchtigkeit zurückgegeben und der Bakterienvermehrung wird vorgebeugt. Gly Clean Moisturizer eignet sich als Ergänzungspflege zum Aktivprodukt, nicht-komedogen.;Ingredients: Aqua (Water), Decyl Oleate, Cetearyl Alcohol, Glycerin, Helianthus Annuus (Sunflower) Seed Oil, Glyceryl Stearate, Panthenol, Tocopheryl Acetate, Sodium Pca, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Tocopherol, Lactic Acid, Sodium Lactate, Allantoin, Hydroxyethylcellulose, Glyceryl Stearate Citrate, Ethylhexylglycerin, Polyaminopropyl Biguanide, Menthyl Lactate, Phenoxyethanol, PEG-100 Stearate, Citrus Medica Limonum (Lemon) Leaf/Peel/Stem Oil, Citrus Aurantium Dulcis (Orange) Oil, Limonene, Citral, Linalool, Geraniol, CI 77891.
Extra Moisturizer ;Gesicht;Fluid;Intensive Feuchtigkeitspflege;Der Extra Moisturizer wirkt ausgleichend, talgregulierend und klärend. Die angenehm leichte Formulierung mit beruhigenden und intensiv befeuchtenden Eigenschaften durch Milchsäure, Aloe Vera und Hyaluronsäure ist perfekt geeignet für eine normale, trockene bis unreine Haut. Diese Feuchtigkeitspflege ergänzt die Aktivprodukte Gly Clean Gel und Gel Plus ideal. Die Haut wird mit viel Feuchtigkeit versorgt und erneuten Unreinheiten vorgebeugt.;Eine haselnussgrosse Menge jeweils morgens und / oder abends auftragen. Gly Clean Extra Moisturizer ist für die trockene, unreine Haut ideal. Speziell bei sensibler und anspruchsvoller Haut und / oder während der kalten Jahreszeit.;;Anwendung: Als Abschlusspflege auftragen.;;Intensive Feuchtigkeitspflege wirkt ausgleichend, talgregulierend und klärend für eine reine Haut. Die pflegende Formulierung mit beruhigenden und stark befeuchtenden Eigenschaften durch Milchsäure, Aloe Vera und Hyaluronsäure ist geeignet für eine normale, trockene bis unreine Haut.;Anwendung: Morgens und abends auf die gereinigte Haut auftragen. ;Hinweis: Nur äusserlich anwenden. Augen- und Schleimhautkontakt vermeiden, ansonsten mit Wasser auswaschen. Von Kindern fernhalten.;"• antibakteriell
• beruhigend
• feuchtigkeitsspendend
• reguliert den Säureschutzmantel der Haut
";"• Allantoin
• Hyaluronsäure
• Hexidin
• Milchsäure
• Panthenol"; trockene, unreine Haut ;Beruhigende Feuchtigkeitspflege für die ölige bis normale, trockene, unrei- ne Haut. Der Haut wird die fehlende Feuchtigkeit zurückgegeben und der Bakterienvermehrung wird vorgebeugt. Gly Clean Extra Moisturizer eignen sich als Ergänzungspflege zum Aktivprodukt, nicht-komedogen.;Ingredients: Aqua (Water), Aloe Barbadensis Leaf Juice, Decyl Oleate, Cetearyl Alcohol, Glyceryl Stearate, Glycerin, Sodium Hyaluronate, Retinyl Palmitate, Daucus Carota Sativa (Carrot) Seed Oil, Daucus Carota Sativa (Carrot) Root Extract, Beta-Carotene,Tocopheryl Acetate, Panthenol, Bisabolol, Tocopherol, Lactic Acid, Decyl Glucoside, Zea Mays (Corn) Oil Unsaponifiables, Helianthus Annuus (Sunflower) Seed Oil, Sodium Lactate, Allantoin, Canola Oil, Hydroxyethylcellulose, Ethylhexylglycerin, Polyaminopropyl Biguanide, Menthyl Lactate, Phenoxyethanol, Peg-100 Stearate, Dimethicone, Citrus Medica Limonum (Lemon) Leaf/Peel/Stem Oil, Citrus Aurantium Dulcis (Orange) Oil, Limonene, Citral, Linalool, Geraniol.
Clarifying Mask ;Gesicht;Maske;Klärende Tonerde-Maske;"Die Clarifying Mask mit Micro-Silber und Zink reinigt 
tiefenwirksam und wird zur Behandlung von Unreinheiten bei öliger und unreiner Haut empfohlen. Die schonende Maske sorgt für einen klaren, ebenmässigen Teint 
und bringt die Haut ins Gleichgewicht ohne sie auszutrocknen. Daher eignet sie sich 
auch bei empfindlicher Haut.";1-2x wöchentlich auf die gereinigte Haut auftragen, ca. 10 - 15 Minuten einwirken lassen und anschliessend gründlich mit Wasser abreinigen. Kann auch punktuell über Nacht aufgetragen werden.;Die Maske kann auch lokal angewendet werden. Zum Beispiel über Nacht als Intensivpflege auf Pusteln oder Papeln aufgetragen, hilft sie den Abhei- lungsprozess zu beschleunigen.;Anwendung: Kann nach Bedarf mit einigen Pumpstösen Gly Clean Tonic verfeinerd werden und/oder 1:1 mit der Hydrating Mask gemischt werden. Mit dem Maskenpinsel auf die gereinigte Haut auftragen, ca. 10 - 15 Minuten einwirken lassen, mit feuchten Fingern aufemulgieren und anschliessend gründlich mit kaltem Wasser abreinigen.;;Klärende Tonerde-Maske mit Micro-Silber und Zink bei öliger und unreiner Haut. Sie sorgt für ein klares, ebenmässigeres und beruhigtes Hautbild.;Anwendung: 1-2x wöchentlich auf die gereinigte Haut auftragen, ca. 10 - 15 Minuten einwirken lassen und anschliessend gründlich mit Wasser abreinigen. Kann auch punktuell über Nacht aufgetragen werden.;"Hinweis: Nur äusserlich anwenden. Augen- und Schleimhautkontakt vermeiden, ansonsten mit Wasser auswaschen. Von Kindern fernhalten.
";"• antiseptisch
• beruhigend
• entzündungshemmend
• klärend";"• Weisse Tonerde (Kaolin)
• Microsilber
• Zink
• Bisabolol
• Vitamin E
• Schlüsselblume
• Duftveilchen
• Aloe Vera
• Seidenbaum
• Augentrost";"• entzündliche Akne-Formen
• ölige, unreine Haut
• Mischhaut
• sensible Haut";"Tonerde nimmt überschüssigen Talg oder Öl von der Haut auf, reinigt und klärt die Haut schonend porentief und verhilft zu einem klaren, reinen Haut- bild. Zudem normalisiert und beruhigt sie die irritierte und gereizte Haut.
";Ingredients: Aloe Barbadensis Leaf Juice, Kaolin (CI 77004), Caprylic/Capric Triglyceride, Butylene Glycol, Aqua (Water), Glyceryl Stearate, Glycerin, Bentonite, Cetearyl Alcohol, PEG-100 Stearate, Pentylene Glycol, Zinc Oxide, Steareth-2, Tocopheryl Acetate, Bisabolol, CI 77820 (Silver), Albizia Julibrissin Flower Extract, Euphrasia Officinalis Extract, Primula Veris Extract, Viola Odorata Leaf Extract, Tocopherol, Coco-Caprylate, Thymus Zygis Herb Oil, Ethylhexylglycerin, Xanthan Gum, Eucalyptus Globulus Leaf Oil, Tetrasodium Glutamate Diacetate, Sodium Hydroxide, Phenoxyethanol, Linalool, Limonene.
Express Stick ;Gesicht;Konzentrat;Schnelle Hilfe;"Der Express Stick beinhaltet eine hochkonzentrierte 
Lösung mit veredelter Fruchtsäure und ist intensiv 
klärend. Perfekt gegen starke Hautunreinheiten. Die 
Wirkung setzt umgehend ein, wirkt effektiv und lokal 
gegen Unreinheiten über Nacht. ";Nur abends 1 bis maximal 2x punktuell auftragen. Kann mit UV-Licht zu Entzündungen/Pigmentflecken führen.;"Kontraindikation
Nicht auf oberflächlich, entzündete Akne-Läsionen (z.B. Pusteln) auftragen. Nur auf intakter Haut verwenden.";— — —;;Soforthilfe bei Hautunreinheiten.;Anwendung nur am Abend: Lokal auf die Unreinheiten auftragen. ;Hinweis: Nur äusserlich anwenden. Augen- und Schleimhautkontakt vermeiden, ansonsten gründlich mit Wasser auswaschen. Von Kindern fernhalten.;"• antibakteriell
• entzündungshemmend
• Hornschicht auflösend (keratolytisch)";"• Glycocitro-Complex 10%
• Chlorhexidin
• Salicylsäure
• Zinksulfat";"• ölige, unreine Haut
• Komedonen, Akne
• tiefsitzende Akne-Läsionen";Ist die optionale, lokale Soforthilfe bei Hautunreinheiten. Hilft in der Entstehungsphase die Talgdrüse wieder zu normalisieren.;Ingredients: Isopropyl Alcohol, Aqua (Water), Propylene Glycol, Glycolic Acid, Citrus Limon (Lemon) Fruit Water Glycerin, Sodium Lauryl Sulfate Salicylic Acid, Zinc Sulfate Chlorhexidine Digluconate.
BB Cream Natural ;Gesicht;Getönte Tagespflege;Ebenmässiger Teint;"Der Blemish Balm verleiht mit wertvollen Inhaltsstoffen ein natürliches Aussehen und einen gleichmässigen, frischen 
Teint. Die innovative, ölfreie Formulierung hilft Rötungen, Pigmentflecken sowie Hautunreinheiten auszugleichen.";Morgens auf die gereinigte Haut auftragen. Um ein perfektes Finish für den ganzen Tag zu erhalten, sollte je nach Hauttyp die passende Tagespflege vorab aufgetragen oder mit dieser gemischt werden.;"3. Stufen Anwendungsmöglichkeiten
Pur aufgetragen erreicht man eine nahezu 100%ige Deckkraft
Nach der Tagespflege auftragen erscheint die Haut ausgeglichen und es zeigt sich eine leichte, gleichmässige Deckkraft.
In die Tagespflege gemischt wird eine leichte Tönung mit einem ausgleichenden Finish erzielt.";— — —;;"Der Blemish Balm verleiht mit wertvollen Inhaltsstoffen ein natürliches Aussehen und einen gleichmässigen, frischen 
Teint. Die innovative, ölfreie Formulierung hilft Rötungen, Pigmentflecken sowie Hautunreinheiten auszugleichen.";Anwendung: Morgens auf die gereinigte Haut auftragen. Je nach Hautbedürfnis kann zuerst eine Feuchtigkeitspflege verwendet werden.;Hinweis: Nur äusserlich anwenden. Augen- und Schleimhautkontakt vermeiden, ansonsten mit Wasser auswaschen. Von Kindern fernhalten.;"• ausgleichend
• abdeckend
• beruhigend
• befeuchtend
• entzündungshemmend
• in zwei Farbnuancen erhältlich: Natural und Bronze";"• Vitamin E
• Zinkoxid
• Titanium Dioxide";"• feuchtigkeitsarme Haut
• unreine Haut";Verleiht dem Teint ein perfektes Aussehen. Wirkt ausgleichend bei Rötungen, Pigmentflecken sowie Hautunreinheiten. Diese moderne ölfreie Formulierung beruhigt die Haut und wirkt befeuchtend.;Ingredients: Aqua (Water), Titanium Dioxide (CI 77891), Iron Oxides (CI 77492) Cyclopentasiloxane, Isostearyl Isostearate, Glycerin, Ethylhexyl Methoxycinnamate Zinc Oxide (Nano), Dimethicone, Phenyl Trimethicone, Cetyl PEG/PPG-10/1 Dimethicone Magnesium Sulfate Octyldodecanol, Polyglyceryl-3 Diisostearate Phenoxyethanol, Potassium Sorbate, Sodium Dehydroacetate, Pullulan, Trimethylsiloxysilicate, Sodium Benzoate Disteardimonium Hectorite Xanthan Gum, Parfum (Fragrance), Tocopherol, Methicone, Paraffinum Liquidum (Mineral Oil) Triethoxycaprylylsilane Nannochloropsis Oculata Extract Sodium Hyaluronate, Benzyl Salicylate, Geraniol, Hexyl Cinnamal, Hydroxycitronellal, Citronellol, Linalool, BHT, Benzyl Benzoate, Eugenol, Iron Oxides (CI 77491), Iron Oxides (CI 77499).
